52.5,23.5,-24.4,41.0
-26.5,-65.5,-0.4,40.2
41.5,-124.5,-17.7,29.4
33.5,6.5,-4.9,49.0
51.5,-2.5,-23.8,36.3
49.5,-64.5,-37.7,28.0
46.5,-109.5,-36.6,35.6
17.5,-61.5,-24.8,38.0
49.5,-92.5,-43.0,35.0
53.5,-57.5,-33.0,31.5
52.5,100.5,-44.2,28.0
38.5,-113.5,-28.3,39.4
11.5,-69.5,15.3,42.0
68.5,38.5,-28.9,26.7
46.5,-68.5,-33.8,33.9
49.5,-98.5,-38.4,40.0
53.5,-8.5,-11.1,30.0
29.5,75.5,-0.6,48.4
68.5,158.5,-50.7,31.0
59.5,29.5,-35.3,50.3
37.5,106.5,-74.5,32.6
51.5,95.5,-48.3,51.5
56.5,61.5,-18.6,30.5
53.5,109.5,-43.6,26.6
9.5,-2.5,15.0,35.0
61.5,6.5,-15.0,29.0
-46.5,-71.5,-15.8,33.2
49.5,29.5,-24.4,31.8
-22.5,149.5,12.5,34.6
40.5,25.5,-13.2,38.6
49.5,25.5,-26.0,30.8
40.5,-89.5,-29.4,38.9
69.5,162.5,-45.7,37.0
37.5,-92.5,-24.3,39.4
45.5,-100.5,-36.0,38.3
45.5,43.5,-29.5,38.5
42.5,0.5,-22.1,19.0
-28.5,16.5,4.0,41.2
43.5,-60.5,-14.0,27.0
35.5,-117.5,-13.8,47.2
34.5,-76.5,-18.9,37.8
7.5,99.5,18.0,39.0
13.5,30.5,8.9,43.0
11.5,-72.5,0.0,44.5
22.5,105.5,-18.7,49.0
47.5,96.5,-41.3,29.9
-31.5,150.5,-1.9,39.6
-7.5,27.5,-18.5,36.3
52.5,27.5,-28.6,36.0
62.5,-163.5,-35.5,28.9
-22.5,-49.5,-8.4,35.4
45.5,-64.5,-30.5,28.0
26.5,92.5,4.8,49.0
65.5,64.5,-47.7,30.0
48.5,-93.5,-42.8,36.1
-29.5,29.5,-11.0,37.0
12.5,6.5,-1.8,40.7
14.5,76.5,-1.0,39.0
50.5,64.5,-33.0,35.0
